RowIndex,OsuX,OsuY,HitTime,Param1,HitSound,Param3
0,332,207,50,5,0,0:0:0:0:
1,332,207,753,5,8,0:0:0:0:
2,332,207,1456,5,0,0:0:0:0:
3,180,177,1925,1,0,0:0:0:0:
4,180,177,2628,5,8,0:0:0:0:
5,180,177,3331,5,0,0:0:0:0:
6,180,177,3448,1,0,0:0:0:0:
7,180,177,3565,1,0,0:0:0:0:
8,180,177,3682,1,0,0:0:0:0:
9,180,177,3800,1,0,0:0:0:0:
10,216,104,4503,5,8,0:0:0:0:
11,297,95,5206,5,0,0:0:0:0:
12,342,255,6846,1,0,0:0:0:0:
13,338,280,6964,1,0,0:0:0:0:
14,342,255,7081,1,0,0:0:0:0:
15,338,280,7199,1,0,0:0:0:0:
16,342,255,7315,1,0,0:0:0:0:
17,338,280,7433,1,0,0:0:0:0:
18,342,255,7550,1,0,0:0:0:0:
19,342,255,8253,5,8,0:0:0:0:
20,342,255,8956,5,0,0:0:0:0:
21,170,129,9425,1,0,0:0:0:0:
22,170,129,10128,5,8,0:0:0:0:
23,170,129,10831,5,0,0:0:0:0:
24,170,129,10948,1,0,0:0:0:0:
25,170,129,11065,1,0,0:0:0:0:
26,170,129,11182,1,0,0:0:0:0:
27,170,129,11300,1,0,0:0:0:0:
28,283,102,12003,5,8,0:0:0:0:
29,283,102,12706,5,0,0:0:0:0:
30,164,237,14346,1,0,0:0:0:0:
31,164,237,14464,1,0,0:0:0:0:
32,164,237,14581,1,0,0:0:0:0:
33,128,228,14698,1,0,0:0:0:0:
34,164,237,14815,1,0,0:0:0:0:
35,128,228,14932,1,0,0:0:0:0:
36,259,281,15518,1,0,0:0:0:0:
37,259,281,15753,1,0,0:0:0:0:
38,329,234,15987,5,8,0:0:0:0:
39,329,234,16221,5,0,0:0:0:0:
40,219,107,16456,5,8,0:0:0:0:
41,294,132,16690,5,0,0:0:0:0:
42,294,132,17159,1,0,0:0:0:0:
43,294,132,17628,1,0,0:0:0:0:
44,175,222,18096,1,0,0:0:0:0:
45,175,222,18331,5,8,0:0:0:0:
46,175,222,18565,5,0,0:0:0:0:
47,180,142,18800,1,0,0:0:0:0:
48,180,142,19034,1,0,0:0:0:0:
49,249,95,19268,5,8,0:0:0:0:
50,323,120,19503,5,0,0:0:0:0:
51,323,120,19737,5,8,0:0:0:0:
52,323,120,19971,5,0,0:0:0:0:
53,299,257,20440,1,0,0:0:0:0:
54,225,131,20675,1,0,0:0:0:0:
55,299,257,21143,1,0,0:0:0:0:
56,225,131,21378,1,0,0:0:0:0:
57,194,236,21846,1,0,0:0:0:0:
58,194,236,22081,5,8,0:0:0:0:
59,194,236,22315,5,0,0:0:0:0:
60,194,236,22550,1,0,0:0:0:0:
61,338,212,22784,1,0,0:0:0:0:
62,338,212,23018,1,0,0:0:0:0:
63,319,134,23253,1,0,0:0:0:0:
64,252,94,23487,5,8,0:0:0:0:
65,319,134,23721,5,0,0:0:0:0:
66,252,94,23956,5,8,0:0:0:0:
67,176,101,24190,5,0,0:0:0:0:
68,204,279,24659,1,0,0:0:0:0:
69,204,279,24893,1,0,0:0:0:0:
70,204,279,25128,1,0,0:0:0:0:
71,312,262,25596,1,0,0:0:0:0:
72,248,297,25831,5,8,0:0:0:0:
73,169,269,26065,5,0,0:0:0:0:
74,156,180,26300,1,0,0:0:0:0:
75,216,132,26534,1,0,0:0:0:0:
76,296,132,26768,1,0,0:0:0:0:
77,296,132,27003,1,0,0:0:0:0:
78,216,132,27237,5,8,0:0:0:0:
79,216,132,27471,5,0,0:0:0:0:
80,296,132,27706,5,8,0:0:0:0:
81,256,264,28175,5,0,0:0:0:0:
82,328,192,28409,1,0,0:0:0:0:
83,256,120,28643,1,0,0:0:0:0:
84,184,192,28877,1,0,0:0:0:0:
85,256,264,29112,5,8,0:0:0:0:
86,256,264,29581,1,8,0:0:0:0:
87,348,96,30050,5,0,0:0:0:0:
88,120,216,30518,1,0,0:0:0:0:
89,348,96,30987,1,0,0:0:0:0:
90,320,240,31221,1,0,0:0:0:0:
91,220,240,31456,5,8,0:0:0:0:
92,184,152,31690,5,0,0:0:0:0:
93,302,47,31925,1,0,0:0:0:0:
94,133,102,32159,1,0,0:0:0:0:
95,133,281,32393,1,0,0:0:0:0:
96,302,336,32628,1,0,0:0:0:0:
97,407,192,32862,5,8,0:0:0:0:
98,407,192,33331,1,8,0:0:0:0:
99,407,192,33800,5,0,0:0:0:0:
100,272,248,34268,1,0,0:0:0:0:
101,176,272,34737,1,0,0:0:0:0:
102,140,216,34971,1,0,0:0:0:0:
103,176,272,35206,5,8,0:0:0:0:
104,140,216,35440,5,0,0:0:0:0:
105,156,148,35909,1,0,0:0:0:0:
106,344,127,36143,1,0,0:0:0:0:
107,267,300,36378,1,0,0:0:0:0:
108,224,132,36846,1,0,0:0:0:0:
109,224,132,36964,1,0,0:0:0:0:
110,200,124,37081,1,0,0:0:0:0:
111,236,108,37198,1,0,0:0:0:0:
112,200,124,37315,1,0,0:0:0:0:
113,236,108,37432,1,0,0:0:0:0:
114,200,124,37550,5,8,0:0:0:0:
115,256,292,37901,1,8,0:0:0:0:
116,312,124,38253,1,8,0:0:0:0:
117,256,68,38487,5,0,0:0:0:0:
118,256,68,38721,1,0,0:0:0:0:
119,336,248,38956,1,0,0:0:0:0:
120,320,276,39073,1,0,0:0:0:0:
121,336,248,39190,1,0,0:0:0:0:
122,320,276,39307,1,0,0:0:0:0:
123,336,248,39425,5,8,0:0:0:0:
124,256,68,39776,1,8,0:0:0:0:
125,176,248,40128,1,8,0:0:0:0:
126,256,68,40362,5,0,0:0:0:0:
127,256,68,40596,1,0,0:0:0:0:
128,344,152,40831,1,0,0:0:0:0:
129,308,144,40948,1,0,0:0:0:0:
130,272,136,41065,1,0,0:0:0:0:
131,236,128,41182,1,0,0:0:0:0:
132,200,120,41300,1,0,0:0:0:0:
133,144,168,41651,1,0,0:0:0:0:
134,144,168,41768,5,8,0:0:0:0:
135,144,168,42003,5,0,0:0:0:0:
136,180,248,42237,1,0,0:0:0:0:
137,180,248,42471,1,0,0:0:0:0:
138,256,280,42706,5,8,0:0:0:0:
139,256,280,42940,5,0,0:0:0:0:
140,352,240,43175,1,0,0:0:0:0:
141,120,284,43643,5,8,0:0:0:0:
142,352,240,44112,5,0,0:0:0:0:
143,192,136,44581,5,8,0:0:0:0:
144,208,108,44698,5,0,0:0:0:0:
145,192,136,44815,1,0,0:0:0:0:
146,208,108,44933,1,0,0:0:0:0:
147,192,136,45050,1,0,0:0:0:0:
148,284,100,45284,1,0,0:0:0:0:
149,344,152,45518,5,8,0:0:0:0:
150,344,228,45753,5,0,0:0:0:0:
151,296,288,45987,1,0,0:0:0:0:
152,296,288,46104,1,0,0:0:0:0:
153,296,288,46221,1,0,0:0:0:0:
154,296,288,46339,1,0,0:0:0:0:
155,296,288,46456,5,8,0:0:0:0:
156,216,296,46690,5,0,0:0:0:0:
157,160,240,46925,1,0,0:0:0:0:
158,156,168,47159,1,0,0:0:0:0:
159,156,168,47276,1,0,0:0:0:0:
160,156,168,47393,5,8,0:0:0:0:
161,200,108,47628,5,0,0:0:0:0:
162,272,88,47862,1,0,0:0:0:0:
163,272,88,47979,1,0,0:0:0:0:
164,272,88,48096,1,0,0:0:0:0:
165,272,88,48214,1,0,0:0:0:0:
166,272,88,48331,5,8,0:0:0:0:
167,340,120,48565,5,0,0:0:0:0:
168,345,199,48800,1,0,0:0:0:0:
169,335,232,48917,1,0,0:0:0:0:
170,314,260,49034,1,0,0:0:0:0:
171,283,277,49151,1,0,0:0:0:0:
172,248,281,49268,1,0,0:0:0:0:
173,215,271,49385,1,0,0:0:0:0:
174,187,250,49503,1,0,0:0:0:0:
175,170,219,49620,1,0,0:0:0:0:
176,166,184,49737,1,0,0:0:0:0:
177,176,151,49854,1,0,0:0:0:0:
178,197,123,49971,1,0,0:0:0:0:
179,228,106,50089,1,0,0:0:0:0:
180,263,102,50206,1,0,0:0:0:0:
181,296,112,50323,1,0,0:0:0:0:
182,324,133,50440,1,0,0:0:0:0:
183,341,164,50557,1,0,0:0:0:0:
184,345,199,50675,1,0,0:0:0:0:
185,345,199,51143,1,0,0:0:0:0:
186,244,264,51846,1,0,0:0:0:0:
187,244,264,51964,1,0,0:0:0:0:
188,248,296,52081,1,0,0:0:0:0:
189,208,292,52198,1,0,0:0:0:0:
190,248,296,52315,1,0,0:0:0:0:
191,208,292,52432,1,0,0:0:0:0:
192,248,296,52550,1,0,0:0:0:0:
193,324,268,52784,1,0,0:0:0:0:
194,356,192,53018,5,8,0:0:0:0:
195,356,192,53253,5,0,0:0:0:0:
196,312,120,53487,1,0,0:0:0:0:
197,312,120,53721,1,0,0:0:0:0:
198,356,192,53956,5,8,0:0:0:0:
199,276,284,54190,5,0,0:0:0:0:
200,236,100,54425,1,0,0:0:0:0:
201,176,144,54659,1,0,0:0:0:0:
202,356,192,54893,5,8,0:0:0:0:
203,180,276,55128,5,0,0:0:0:0:
204,244,304,55362,1,0,0:0:0:0:
205,336,264,55596,1,0,0:0:0:0:
206,356,192,55831,5,8,0:0:0:0:
207,336,264,56065,5,0,0:0:0:0:
208,304,116,56300,1,0,0:0:0:0:
209,236,136,56534,1,0,0:0:0:0:
210,356,192,56768,5,8,0:0:0:0:
211,144,96,57003,5,0,0:0:0:0:
212,144,96,57237,1,0,0:0:0:0:
213,144,96,57471,1,0,0:0:0:0:
214,356,192,57706,5,8,0:0:0:0:
215,404,224,58409,1,8,0:0:0:0:
216,154,304,58643,1,8,0:0:0:0:
217,209,47,58878,1,8,0:0:0:0:
218,209,47,59346,1,8,0:0:0:0:
219,404,224,59581,1,8,0:0:0:0:
220,154,304,59815,1,8,0:0:0:0:
221,154,304,60050,5,0,0:0:0:0:
222,288,280,60284,1,0,0:0:0:0:
223,288,280,60518,5,8,0:0:0:0:
224,220,248,60753,5,0,0:0:0:0:
225,288,280,60987,1,0,0:0:0:0:
226,356,312,61221,1,0,0:0:0:0:
227,288,280,61456,5,8,0:0:0:0:
228,220,248,61690,5,0,0:0:0:0:
229,364,236,61925,1,0,0:0:0:0:
230,288,280,62159,1,0,0:0:0:0:
231,288,280,62628,1,0,0:0:0:0:
232,288,280,63096,1,0,0:0:0:0:
233,156,192,63331,5,8,0:0:0:0:
234,317,80,63565,5,0,0:0:0:0:
235,184,128,63800,1,0,0:0:0:0:
236,248,104,64034,1,0,0:0:0:0:
237,156,192,64268,5,8,0:0:0:0:
238,248,104,64502,5,0,0:0:0:0:
239,248,104,64737,1,0,0:0:0:0:
240,184,128,64971,1,0,0:0:0:0:
241,156,192,65206,5,8,0:0:0:0:
242,184,128,65675,5,0,0:0:0:0:
243,356,192,65909,1,0,0:0:0:0:
244,156,192,66143,5,8,0:0:0:0:
245,328,256,66378,5,0,0:0:0:0:
246,356,192,66846,1,0,0:0:0:0:
247,156,192,67081,5,8,0:0:0:0:
248,256,88,67550,5,0,0:0:0:0:
249,256,88,68018,5,8,0:0:0:0:
250,256,88,68487,5,0,0:0:0:0:
251,256,88,68721,1,0,0:0:0:0:
252,360,192,68956,5,8,0:0:0:0:
253,360,192,69190,5,0,0:0:0:0:
254,256,296,69425,1,0,0:0:0:0:
255,256,296,69893,5,8,0:0:0:0:
256,256,296,70128,5,0,0:0:0:0:
257,256,296,70362,1,0,0:0:0:0:
258,156,192,70831,5,8,0:0:0:0:
259,180,120,71065,5,0,0:0:0:0:
260,180,120,71300,1,0,0:0:0:0:
261,360,192,71768,5,8,0:0:0:0:
262,352,112,72003,5,0,0:0:0:0:
